State_TW,State_EN,Gender,總 計 Total,新北巿 New Taipei City,臺北市 Taipei City,桃園巿 Taoyuan City,臺中市 Taichung City,臺南市 Tainan City,高雄市 Kaohsiung City,宜蘭縣 Yilan County,新竹縣 Hsinchu County,苗栗縣 Miaoli County,彰化縣 Changhua County,南投縣 Nantou County,雲林縣 Yunlin County,嘉義縣 Chiayi County,屏東縣 Pingtung County,臺東縣 Taitung County,花蓮縣 Hualien County,澎湖縣 Penghu County,基隆市 Keelung City,新竹市 Hsinchu City,嘉義市 Chiayi City,金門縣 Kinmen County,連江縣 Lienchiang County
摩洛哥,(MOROCCO),Female,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尼日,(NIGER),Male,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尼日,(NIGER),Female,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奈及利亞,(NIGERIA),Male,76,32,17,7,5,2,4,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0
奈及利亞,(NIGERIA),Female,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
辛巴威,(ZIMBABWE),Male,5,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
辛巴威,(ZIMBABWE),Female,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
盧安達,(RWANDA),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
盧安達,(RWANDA),Female,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塞內加爾,(SENEGAL),Male,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
塞內加爾,(SENEGAL),Female,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
獅子山,(SIERRA LEONE),Male,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
獅子山,(SIERRA LEONE),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
索馬利亞,(SOMALIA),Male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
索馬利亞,(SOMALIA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南非,(SOUTH AFRICA),Male,650,113,111,60,101,26,43,8,33,10,17,0,11,3,9,10,6,3,12,64,10,0,0
南非,(SOUTH AFRICA),Female,444,55,64,49,53,29,24,8,29,8,17,1,9,3,4,1,5,1,9,69,6,0,0
蘇丹,(SUDAN),Male,8,1,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蘇丹,(SUDAN),Female,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
史瓦濟蘭,(SWAZILAND),Male,127,15,32,10,5,10,36,1,0,0,3,1,0,1,7,0,4,0,0,2,0,0,0
史瓦濟蘭,(SWAZILAND),Female,96,10,23,7,8,6,33,0,0,0,1,0,0,0,4,0,3,0,0,1,0,0,0
坦尚尼亞,(TANZANIA),Male,8,3,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坦尚尼亞,(TANZANIA),Female,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
多哥共和國,(TOGO),Male,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
多哥共和國,(TOGO),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
突尼西亞,(TUNISIA),Male,8,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
突尼西亞,(TUNISIA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
烏干達,(UGANDA),Male,9,1,0,1,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
烏干達,(UGANDA),Female,6,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埃及,(EGYPT),Male,51,8,18,2,1,3,8,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0
埃及,(EGYPT),Female,7,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
布吉納法索,(BURKINA FASO),Male,102,28,14,4,5,14,10,0,1,0,1,0,0,1,9,0,3,0,2,10,0,0,0
布吉納法索,(BURKINA FASO),Female,15,4,1,1,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
尚比亞,(ZAMBIA),Male,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尚比亞,(ZAMBIA),Female,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴林,(BAHRAIN),Male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴林,(BAHRAIN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
莫三比克,(MOZAMBIQUE),Male,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
莫三比克,(MOZAMBIQUE),Female,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
幾內亞比索共和國,(GUINEA BISSAU),Male,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
幾內亞比索共和國,(GUINEA BISSAU),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
聖多美及普林西比,(SAO TOME AND PRINCIPE),Male,12,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
聖多美及普林西比,(SAO TOME AND PRINCIPE),Female,9,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
那密比亞,(NAMIBIA),Male,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
那密比亞,(NAMIBIA),Female,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
剛果民主共和國,(THE REPUBLIC OF CONGO),Male,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
剛果民主共和國,(THE REPUBLIC OF CONGO),Female,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
聖文森及格瑞那丁,(SAINT VINCENT AND THE GRENADINES),Male,29,1,9,2,2,4,6,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0
聖文森及格瑞那丁,(SAINT VINCENT AND THE GRENADINES),Female,44,2,14,2,4,4,4,0,2,1,0,1,0,0,3,0,0,0,1,5,1,0,0
聖露西亞,(SAINT LUCIA),Male,42,7,4,6,2,5,8,1,0,1,1,0,0,0,2,0,1,0,0,4,0,0,0
聖露西亞,(SAINT LUCIA),Female,44,12,5,1,4,1,16,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0
聖克里斯多福,(SAINT CHRISTOPHER),Male,34,3,5,5,1,3,5,0,1,0,0,0,1,0,2,0,5,0,1,2,0,0,0
聖克里斯多福,(SAINT CHRISTOPHER),Female,24,2,9,1,1,0,4,1,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0
貝理斯,(BELIZE),Male,78,5,17,5,5,21,5,0,1,0,0,0,0,2,6,0,4,0,2,5,0,0,0
貝理斯,(BELIZE),Female,56,2,19,2,3,10,9,0,1,0,0,0,0,0,1,0,3,0,1,5,0,0,0
其它,(OTHER),Male,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
其它,(OTHER),Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
